matricula(tailNum);agnoFabricacion(planeYear);modelo(model);
N947SW;2003;CL-600-2B19;
N947UW;2007;ERJ 190-100 IGW;
N948AT;1999;717-200;
N948DL;1989;MD-88;
N948FR;2006;A319-111;
N948SW;2003;CL-600-2B19;
N948UW;2007;ERJ 190-100 IGW;
N949AT;1999;717-200;
N949DL;1990;MD-88;
N949FR;2006;A319-111;
N949UW;2007;ERJ 190-100 IGW;
N950AT;2000;717-200;
N950DL;1990;MD-88;
N950UW;2007;ERJ 190-100 IGW;
N951AT;2000;717-200;
N951DL;1990;MD-88;
N951SW;2003;CL-600-2B19;
N951UW;2007;ERJ 190-100 IGW;
N952AT;2000;717-200;
N952DL;1990;MD-88;
N952SW;2003;CL-600-2B19;
N952UW;2007;ERJ 190-100 IGW;
N953AT;2000;717-200;
N953DL;1990;MD-88;
N953SW;2003;CL-600-2B19;
N953UW;2007;ERJ 190-100 IGW;
N954AT;2000;717-200;
N954CA;1995;CL-600-2B19;
N954DL;1990;MD-88;
N954SW;2003;CL-600-2B19;
N954UW;2007;ERJ 190-100 IGW;
N955AT;2000;717-200;
N955DL;1990;MD-88;
N955SW;2003;CL-600-2B19;
N955UW;2008;ERJ 190-100 IGW;
N956AT;2000;717-200;
N956CA;1996;CL-600-2B19;
N956DL;1990;MD-88;
N956LR;2005;CL600-2D24;
N956SW;2003;CL-600-2B19;
N956UW;2008;ERJ 190-100 IGW;
N957AT;2000;717-200;
N957CA;1996;CL-600-2B19;
N957DL;1990;MD-88;
N957SW;2003;CL-600-2B19;
N957UW;;ERJ 190-100 IGW;
N958AT;2001;717-200;
N958CA;1996;CL-600-2B19;
N958DL;1990;MD-88;
N958SW;2003;CL-600-2B19;
N958UW;;ERJ 190-100 IGW;
N959AT;2001;717-200;
N959CA;1996;CL-600-2B19;
N959DL;1990;MD-88;
N959SW;2003;CL-600-2B19;
N959UW;;ERJ 190-100 IGW;
N960AT;2001;717-200;
N960CA;1996;CL-600-2B19;
N960DL;1990;MD-88;
N960UW;;;
N961AT;2001;717-200;
N961DL;1990;MD-88;
N961SW;2003;CL-600-2B19;
N961UW;;;
N962CA;1996;CL-600-2B19;
N962DL;1990;MD-88;
N962SW;2003;CL-600-2B19;
N962UW;;;
N963AT;2001;717-200;
N963CA;1996;CL-600-2B19;
N963DL;1990;MD-88;
N963SW;2003;CL-600-2B19;
N963UW;;;
N964AT;2001;717-200;
N964CA;1996;CL-600-2B19;
N964DL;1990;MD-88;
N964SW;2003;CL-600-2B19;
N964UW;;;
N965AT;2001;717-200;
N965CA;1996;CL-600-2B19;
N965DL;1990;MD-88;
N965UW;;;
N966AT;2001;717-200;
N966CA;1996;CL-600-2B19;
N966UW;;;
N967AT;2001;717-200;
N967CA;1996;CL-600-2B19;
N967N;1973;DC-9-32;
N967SW;2003;CL-600-2B19;
N967UW;;;
N968AT;2001;717-200;
N968UW;;;
N969AT;2001;717-200;
N969DL;1990;MD-88;
N969SW;2003;CL-600-2B19;
N970AT;2001;717-200;
N970EV;2001;CL-600-2B19;
N971AT;2001;717-200;
N971EV;2001;CL-600-2B19;
N971SW;2004;CL-600-2B19;
N972AT;2001;717-200;
N972CA;1966;PA-28-180;
N972DL;1991;MD-88;
N972EV;2001;CL-600-2B19;
N97325;1999;CL-600-2B19;
N973DL;1991;MD-88;
N973EV;2002;CL-600-2B19;
N973SW;2004;CL-600-2B19;
N974AT;2002;717-200;
N974DL;1991;MD-88;
N974EV;2001;CL-600-2B19;
N975AT;2002;717-200;
N975DL;1991;MD-88;
N975SW;2004;CL-600-2B19;
N976DL;1991;MD-88;
N976EV;2001;CL-600-2B19;
N976SW;2004;CL-600-2B19;
N977AT;2002;717-200;
N977DL;1991;MD-88;
N977EV;2002;CL-600-2B19;
N978AT;2002;717-200;
N978DL;1991;MD-88;
N978EV;2002;CL-600-2B19;
N978SW;2004;CL-600-2B19;
N979AT;2002;717-200;
N979DL;1991;MD-88;
N979EV;2003;CL-600-2B19;
N979SW;2004;CL-600-2B19;
N980AT;2002;717-200;
N980DL;1991;MD-88;
N980EV;2003;CL-600-2B19;
N980SW;2004;CL-600-2B19;
N981AT;2002;717-200;
N981DL;1991;MD-88;
N981EV;2003;CL-600-2B19;
N982AT;2002;717-200;
N982DL;1991;MD-88;
N982SW;2004;CL-600-2B19;
N983AT;;717-200;
N983DL;1991;MD-88;
N983SW;2004;CL-600-2B19;
N984DL;1991;MD-88;
N985AT;2001;717-200;
N985DL;1991;MD-88;
N986AT;2001;717-200;
N986CA;;CL-600-2B19;
N986DL;1991;MD-88;
N986SW;2004;CL-600-2B19;
N987AT;2001;717-200;
N987DL;1991;MD-88;
N987HA;1996;DHC-8-202;
N987US;1971;DC-9-32;
N988AT;2001;717-200;
N988DL;1991;MD-88;
N988HA;1996;DHC-8-202;
N989AT;2001;717-200;
N989CA;1998;CL-600-2B19;
N989DL;1991;MD-88;
N989HA;1996;DHC-8-202;
N990AT;2001;717-200;
N990DL;1991;MD-88;
N991AT;;717-200;
N991DL;1991;MD-88;
N991HA;1996;DHC-8-202;
N992AT;2002;717-200;
N992DL;1991;MD-88;
N993AT;2002;717-200;
N993DL;1991;MD-88;
N994AT;2002;717-200;
N994DL;1991;MD-88;
N995AT;2002;717-200;
N995DL;1991;MD-88;
N996AT;2002;717-200;
N996DL;1991;MD-88;
N997AT;2002;717-200;
N997DL;1992;MD-88;
N998AT;2002;717-200;
N998DL;1992;MD-88;
N999DN;1992;MD-88;
