matricula(tailNum);agnoFabricacion(planeYear);modelo(model);
N23721;1999;737-724;
N237AA;1984;DC-9-82(MD-82);
N237SW;1996;EMB-120ER;
N237WN;2006;737-7H4;
N238JB;;ERJ 190-100 IGW;
N238WN;2005;737-7H4;
N239WN;2006;737-7H4;
N240AT;2005;737-76N;
N240MQ;;;
N240WN;2006;737-7H4;
N24103;2002;EMB-145XR;
N241AA;1984;DC-9-82(MD-82);
N241WN;2006;737-7H4;
N24202;2000;737-824;
N24211;1998;737-824;
N24212;1998;737-824;
N24224;1998;737-824;
N242AA;1984;DC-9-82(MD-82);
N242WN;2006;737-7H4;
N243WN;2006;737-7H4;
N244AA;1984;DC-9-82(MD-82);
N244WN;2006;737-7H4;
N245AA;1984;DC-9-82(MD-82);
N245WN;2006;737-7H4;
N24633;1995;737-524;
N246AA;1984;DC-9-82(MD-82);
N246AY;1987;767-201;
N246LV;2006;737-7H4;
N24702;1998;737-724;
N24706;1998;737-724;
N24715;1998;737-724;
N24729;1999;737-724;
N24736;1999;737-724;
N247JB;2006;ERJ 190-100 IGW;
N247WN;2006;737-7H4;
N248AA;1984;DC-9-82(MD-82);
N248WN;2006;737-7H4;
N249AA;1984;DC-9-82(MD-82);
N249AU;1987;767-201;
N249JB;2006;ERJ 190-100 IGW;
N249WN;2006;737-7H4;
N250MQ;;;
N250WN;2006;737-7H4;
N25134;2003;EMB-145XR;
N251WN;2006;737-7H4;
N252AU;1990;767-2B7;
N252WN;2006;737-7H4;
N253AA;;;
N253MQ;;;
N253WN;2006;737-7H4;
N254WN;2006;737-7H4;
N255AA;1984;DC-9-82(MD-82);
N255WN;2006;737-7H4;
N256AY;1993;767-2B7;
N256WN;2006;737-7H4;
N25705;1998;737-724;
N257WN;2006;737-7H4;
N258AA;1985;DC-9-82(MD-82);
N258JB;2006;ERJ 190-100 IGW;
N258WN;2006;737-7H4;
N259AA;1985;DC-9-82(MD-82);
N259WN;2006;737-7H4;
N260WN;2006;737-7H4;
N26123;1997;757-224;
N26141;2003;EMB-145XR;
N261AT;2005;737-76N;
N261WN;2006;737-7H4;
N26208;2000;737-824;
N26210;1998;737-824;
N26215;1998;737-824;
N262WN;2006;737-7H4;
N263WN;2007;737-7H4;
N264LV;2007;737-7H4;
N26545;2002;EMB-145LR;
N26549;2002;EMB-145LR;
N265JB;2006;ERJ 190-100 IGW;
N265WN;2007;737-7H4;
N266AA;1985;DC-9-82(MD-82);
N266JB;2007;ERJ 190-100 IGW;
N266WN;2007;737-7H4;
N267AT;2005;737-7BD;
N267JB;2007;ERJ 190-100 IGW;
N267WN;2007;737-7H4;
N268WN;2007;737-7H4;
N269WN;2007;737-7H4;
N270WN;1998;737-705;
N270YV;1993;EMB-120ER;
N27152;2003;EMB-145XR;
N27172;1997;CL-600-2B19;
N27185;1997;CL-600-2B19;
N27190;2005;EMB-145XR;
N27191;1997;CL-600-2B19;
N271AA;1985;DC-9-82(MD-82);
N271LV;;;
N271YV;1993;EMB-120ER;
N27200;2006;EMB-145XR;
N27205;2000;737-824;
N27213;1998;737-824;
N27239;1999;737-824;
N272AT;2005;737-7BD;
N272WN;2007;737-7H4;
N27314;1999;CL-600-2B19;
N27318;1999;CL-600-2B19;
N273AT;2005;737-76N;
N273JB;2007;ERJ 190-100 IGW;
N273WN;2007;737-7H4;
N27421;;;
N274AA;1984;DC-9-82(MD-82);
N274AY;2000;A330-323;
N274JB;2007;ERJ 190-100 IGW;
N274WN;2007;737-7H4;
N275WN;2007;737-7H4;
N276AT;2005;737-76N;
N276WN;2007;737-7H4;
N27722;1999;737-724;
N27724;1999;737-724;
N27733;1999;737-724;
N27734;1999;737-724;
N277AY;2001;A330-323;
N277WN;2007;737-7H4;
N278AA;1985;DC-9-82(MD-82);
N278AT;2005;737-76N;
N278WN;2007;737-7H4;
N27962;1999;EMB-145;
N279AA;1985;DC-9-82(MD-82);
N279AT;2005;737-76N;
N279JB;2007;ERJ 190-100 IGW;
N279WN;2007;737-7H4;
N280WN;2007;737-7H4;
N281AT;2006;737-7BD;
N281JB;2007;ERJ 190-100 IGW;
N281WN;2007;737-7H4;
N282WN;2007;737-7H4;
N283AT;2006;737-7BD;
N283JB;2007;ERJ 190-100 IGW;
N283WN;2007;737-7H4;
N284AT;2006;737-76N;
N284JB;;ERJ 190-100 IGW;
N284WN;2007;737-7H4;
N284YV;1994;EMB-120ER;
N285AT;2006;737-76N;
N285WN;2007;737-7H4;
N286WN;2004;737-7H4;
N287AA;1985;DC-9-82(MD-82);
N287AT;2006;737-76N;
N287WN;2007;737-7H4;
N288AT;2006;737-7BD;
N288SW;1996;EMB-120ER;
N288WN;2007;737-7H4;
N289AT;2006;737-76N;
N289JB;;ERJ 190-100 IGW;
N289WN;;;
N290AA;1985;DC-9-82(MD-82);
N290AT;2006;737-7BD;
N290SW;1996;EMB-120ER;
N290WN;2007;737-7H4;
N29124;1998;757-224;
N29129;1998;757-224;
N291AT;2006;737-76N;
N291SW;1996;EMB-120ER;
N291WN;2007;737-7H4;
N292AA;1985;DC-9-82(MD-82);
N292AT;2006;737-7BD;
N292JB;;;
N292SW;1996;EMB-120ER;
N292UX;1994;EMB-120ER;
N292WN;2007;737-7H4;
N293AA;1985;DC-9-82(MD-82);
N293WN;;;
N294JB;;;
N294SW;1996;EMB-120ER;
N294WN;2007;737-7H4;
