numeroVuelo(flightNum);fecha(flightDate);horaSalida(crsDepTime);horaLlegada(crsArrTime);aeropuertoSalida(originiata);aeropuertoLlegada(destinata);compagnia(carrierCode);avion(tailNum);
183;25/10/2008;815;1135;BOS;SFO;AA;N5ESAA;
183;26/10/2008;815;1135;BOS;SFO;AA;N5FCAA;
183;27/10/2008;815;1135;BOS;SFO;AA;N628AA;
185;25/10/2008;2045;5;JFK;LAX;AA;N325AA;
185;26/10/2008;2045;5;JFK;LAX;AA;N339AA;
185;27/10/2008;2045;5;JFK;LAX;AA;N335AA;
192;25/10/2008;2230;655;LAX;BOS;AA;N5CJAA;
192;26/10/2008;2230;655;LAX;BOS;AA;N5CDAA;
192;27/10/2008;2230;655;LAX;BOS;AA;N5CAAA;
194;25/10/2008;1400;2235;SFO;BOS;AA;N5CSAA;
194;26/10/2008;1400;2235;SFO;BOS;AA;N637AA;
194;27/10/2008;1400;2235;SFO;BOS;AA;N631AA;
197;25/10/2008;1830;2155;BOS;SFO;AA;N639AA;
197;26/10/2008;1830;2155;BOS;SFO;AA;N5EEAA;
197;27/10/2008;1830;2155;BOS;SFO;AA;N5CSAA;
201;25/10/2008;625;925;JFK;LAX;AA;N325AA;
201;26/10/2008;625;925;JFK;LAX;AA;N339AA;
201;27/10/2008;625;925;JFK;LAX;AA;N335AA;
203;25/10/2008;1435;1710;MIA;LAX;AA;N5FAAA;
203;26/10/2008;1435;1710;MIA;LAX;AA;N375AA;
203;27/10/2008;1435;1710;MIA;LAX;AA;N5ECAA;
209;25/10/2008;655;755;DCA;ORD;AA;N592AA;
209;26/10/2008;655;755;DCA;ORD;AA;N4WVAA;
209;27/10/2008;655;755;DCA;ORD;AA;N4WDAA;
222;25/10/2008;725;1545;LAX;BOS;AA;N354AA;
222;26/10/2008;725;1545;LAX;BOS;AA;N354AA;
222;27/10/2008;725;1545;LAX;BOS;AA;N377AA;
223;25/10/2008;1855;2215;BOS;LAX;AA;N5DUAA;
223;26/10/2008;1855;2215;BOS;LAX;AA;N5CGAA;
223;27/10/2008;1855;2215;BOS;LAX;AA;N5EAAA;
231;25/10/2008;630;1425;LAX;MIA;AA;N5ERAA;
231;26/10/2008;630;1425;LAX;MIA;AA;N5EVAA;
231;27/10/2008;630;1425;LAX;MIA;AA;N5ESAA;
244;25/10/2008;845;1635;LAX;MCO;AA;N5EDAA;
244;26/10/2008;845;1635;LAX;MCO;AA;N5DHAA;
244;27/10/2008;845;1635;LAX;MCO;AA;N5FAAA;
246;25/10/2008;2145;550;KOA;LAX;AA;N5EWAA;
246;26/10/2008;2145;550;KOA;LAX;AA;N5FAAA;
246;27/10/2008;2145;550;KOA;LAX;AA;N5FBAA;
247;25/10/2008;1450;1600;DFW;LAX;AA;N5EUAA;
247;26/10/2008;1450;1600;DFW;LAX;AA;N5FAAA;
247;27/10/2008;1450;1600;DFW;LAX;AA;N5FBAA;
247;25/10/2008;1740;2015;LAX;KOA;AA;N5EWAA;
247;26/10/2008;1740;2015;LAX;KOA;AA;N5FAAA;
247;27/10/2008;1740;2015;LAX;KOA;AA;N5FBAA;
252;25/10/2008;1355;2145;LAX;MIA;AA;N390AA;
252;26/10/2008;1350;2140;LAX;MIA;AA;N388AA;
252;27/10/2008;1350;2140;LAX;MIA;AA;N345AA;
253;25/10/2008;1010;1240;LAX;OGG;AA;N5DEAA;
253;26/10/2008;1010;1240;LAX;OGG;AA;N5DEAA;
253;27/10/2008;1010;1240;LAX;OGG;AA;N5DEAA;
254;25/10/2008;1420;2235;OGG;LAX;AA;N5DEAA;
254;26/10/2008;1420;2235;OGG;LAX;AA;N5DEAA;
254;27/10/2008;1420;2235;OGG;LAX;AA;N5DEAA;
257;25/10/2008;1630;1915;JFK;LAS;AA;N612AA;
257;26/10/2008;1630;1915;JFK;LAS;AA;N5EFAA;
257;27/10/2008;1630;1915;JFK;LAS;AA;N5FHAA;
258;26/10/2008;730;1545;LAS;JFK;AA;N635AA;
258;27/10/2008;730;1545;LAS;JFK;AA;N617AA;
263;25/10/2008;1425;1655;IAD;LAX;AA;N3BHAA;
263;26/10/2008;1425;1655;IAD;LAX;AA;N3DLAA;
263;27/10/2008;1425;1655;IAD;LAX;AA;N3CWAA;
264;25/10/2008;1300;2125;LAX;BOS;AA;N630AA;
264;26/10/2008;1300;2125;LAX;BOS;AA;N5ENAA;
264;27/10/2008;1300;2125;LAX;BOS;AA;N5CNAA;
267;25/10/2008;1610;1845;MIA;LAX;AA;N5FDAA;
267;26/10/2008;1610;1845;MIA;LAX;AA;N5ERAA;
267;27/10/2008;1610;1845;MIA;LAX;AA;N5ETAA;
268;25/10/2008;740;1610;SEA;JFK;AA;N5CUAA;
