flightNum;cancelled;cancellationName;diverted;div1airport;div2airport;compania;carrierDelay;tiempo;weatherDelay;NAS;nasDelay;seguridad;securityDelay;previo;lateAircraftDelay;desvio;divArrDelay;idIncidencia
692;0;;0;;;compania;0;tiempo;12;NAS;0;seguridad;0;previo;0;desvio;0;281
692;0;;0;;;compania;0;tiempo;0;NAS;5;seguridad;0;previo;0;desvio;0;282
703;0;;0;;;compania;0;tiempo;0;NAS;23;seguridad;0;previo;0;desvio;0;283
704;0;;0;;;compania;0;tiempo;0;NAS;78;seguridad;0;previo;0;desvio;0;284
707;0;;0;;;compania;39;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;285
707;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;5;desvio;0;286
708;0;;0;;;compania;18;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;287
708;0;;0;;;compania;0;tiempo;0;NAS;24;seguridad;0;previo;0;desvio;0;288
708;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;12;desvio;0;289

715;0;;0;;;compania;25;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;291
715;0;;0;;;compania;0;tiempo;0;NAS;1;seguridad;0;previo;0;desvio;0;292
719;0;;0;;;compania;9;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;293
719;0;;0;;;compania;0;tiempo;0;NAS;14;seguridad;0;previo;0;desvio;0;294
723;0;;0;;;compania;31;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;295
727;0;;0;;;compania;0;tiempo;7;NAS;0;seguridad;0;previo;0;desvio;0;296
727;0;;0;;;compania;0;tiempo;0;NAS;2;seguridad;0;previo;0;desvio;0;297
727;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;35;desvio;0;298
728;0;;0;;;compania;54;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;299
728;0;;0;;;compania;0;tiempo;0;NAS;2;seguridad;0;previo;0;desvio;0;300
728;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;24;desvio;0;301
732;0;;0;;;compania;17;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;302
732;0;;0;;;compania;0;tiempo;0;NAS;10;seguridad;0;previo;0;desvio;0;303
732;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;3;desvio;0;304
733;0;;0;;;compania;12;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;305
733;0;;0;;;compania;0;tiempo;0;NAS;10;seguridad;0;previo;0;desvio;0;306
733;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;41;desvio;0;307
735;0;;0;;;compania;12;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;308
735;0;;0;;;compania;0;tiempo;0;NAS;6;seguridad;0;previo;0;desvio;0;309
736;0;;0;;;compania;46;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;310
736;0;;0;;;compania;0;tiempo;0;NAS;10;seguridad;0;previo;0;desvio;0;311
