causa();duracion(carrierDelay/weatherDelay/Retraso NASDelay/securityDelay/lateAircraftDelay/divArrDelay);idIncidencia();
Retraso Compagnia;25;819;
Retraso Compagnia;10;821;
Retraso NAS;16;822;
Retraso Compagnia;19;823;
Retraso NAS;120;824;
Retraso NAS;80;825;
Retraso Previo;86;826;
Retraso Previo;51;827;
Retraso Compagnia;12;828;
Retraso NAS;31;829;
Retraso NAS;16;830;
Retraso Compagnia;46;831;
Retraso NAS;101;832;
Retraso NAS;26;833;
Retraso Compagnia;98;834;
Retraso Compagnia;37;835;
Retraso NAS;20;836;
Retraso NAS;66;838;
Retraso NAS;101;839;
Retraso Compagnia;96;840;
Retraso NAS;7;841;
Retraso Previo;17;842;
Retraso Compagnia;4;843;
Retraso Previo;11;844;
Retraso Compagnia;2;845;
Retraso NAS;17;846;
Retraso Previo;12;847;
Retraso Compagnia;13;848;
Retraso Previo;21;849;
Retraso Compagnia;19;850;
Retraso Compagnia;46;851;
Retraso NAS;8;852;
Retraso Meteorologico;18;853;
Retraso Previo;9;854;
Retraso NAS;84;855;
Retraso NAS;54;856;
Retraso NAS;33;857;
Retraso Compagnia;38;858;
Retraso NAS;53;859;
Retraso NAS;22;860;
Retraso Compagnia;18;861;
Retraso Compagnia;21;862;
Retraso Compagnia;892;863;
Retraso NAS;37;864;
Retraso Previo;5;865;
Retraso Compagnia;21;866;
Retraso Previo;64;867;
Retraso Compagnia;82;868;
Retraso Compagnia;41;869;
Retraso Compagnia;95;870;
Retraso NAS;22;871;
Retraso NAS;27;872;
Retraso Compagnia;19;873;
Retraso NAS;17;875;
Retraso NAS;21;876;
Retraso Compagnia;9;877;
Retraso Previo;118;878;
Retraso Meteorologico;8;879;
Retraso Previo;121;880;
Retraso NAS;23;881;
Retraso Meteorologico;22;882;
Retraso Previo;57;883;
Retraso NAS;11;884;
Retraso Previo;58;885;
Retraso Compagnia;21;886;
Retraso Previo;23;887;
Retraso Compagnia;62;888;
Retraso NAS;23;889;
Retraso Compagnia;18;890;
Retraso NAS;2;891;
Retraso NAS;37;893;
Retraso Previo;110;894;
Retraso NAS;16;895;
Retraso NAS;19;896;
Retraso Compagnia;4;897;
Retraso NAS;9;898;
Retraso Previo;4;899;
Retraso NAS;18;900;
Retraso Compagnia;10;901;
Retraso Previo;45;902;
Retraso NAS;40;903;
Retraso NAS;78;904;
Retraso Compagnia;30;905;
Retraso NAS;21;906;
Retraso Compagnia;11;907;
Retraso NAS;8;908;
Retraso Compagnia;24;909;
Retraso NAS;9;910;
Retraso Compagnia;15;911;
Retraso NAS;9;912;
Retraso Compagnia;61;913;
Retraso NAS;9;914;
Retraso Previo;7;915;
Retraso NAS;40;916;
Retraso Previo;63;917;
Retraso NAS;74;918;
Retraso Previo;19;919;
Retraso NAS;74;920;
Retraso Previo;14;921;
Retraso Previo;56;922;
Retraso NAS;2;923;
Retraso Previo;73;924;
Retraso NAS;47;927;
Retraso NAS;24;928;
Retraso Compagnia;6;929;
Retraso Previo;25;930;
Retraso Compagnia;21;931;
Retraso Compagnia;21;932;
Retraso NAS;30;933;
Retraso NAS;112;934;
Retraso Previo;12;935;
Retraso NAS;102;936;
Retraso Previo;5;937;
Retraso Meteorologico;4;938;
Retraso NAS;12;939;
Retraso Previo;114;940;
Retraso NAS;5;941;
Retraso Previo;88;942;
Retraso Compagnia;6;943;
Retraso NAS;9;944;
Retraso NAS;25;945;
Retraso NAS;27;946;
Retraso Previo;23;947;
Retraso Compagnia;17;948;
Retraso NAS;5;949;
Retraso NAS;98;950;
Retraso NAS;34;951;
Retraso Previo;12;952;
Retraso Compagnia;51;953;
Retraso NAS;38;954;
Retraso NAS;38;955;
Retraso NAS;15;956;
Retraso Compagnia;48;957;
Retraso Previo;9;958;
Retraso Compagnia;33;959;
Retraso Meteorologico;10;960;
Retraso Previo;36;961;
Retraso NAS;5;962;
Retraso Previo;41;963;
Retraso Compagnia;3;964;
Retraso Previo;20;965;
Retraso NAS;244;966;
Retraso NAS;118;967;
Retraso NAS;56;968;
Retraso NAS;15;969;
Retraso NAS;31;970;
Retraso NAS;37;971;
Retraso Previo;18;972;
Retraso NAS;4;973;
Retraso Previo;68;974;
Retraso NAS;31;975;
Retraso Previo;6;976;
Retraso NAS;93;977;
Retraso Compagnia;30;978;
Retraso NAS;16;979;
Retraso NAS;18;980;
Retraso NAS;39;981;
Retraso Compagnia;10;982;
Retraso NAS;2;983;
Retraso Previo;24;984;
Retraso Compagnia;13;985;
Retraso NAS;13;986;
Retraso NAS;20;987;
Retraso Compagnia;1;988;
Retraso NAS;5;989;
Retraso Previo;11;990;
Retraso Compagnia;106;991;
Retraso NAS;1;992;
Retraso Compagnia;20;993;
Retraso Previo;20;994;
Retraso NAS;20;995;
Retraso NAS;15;996;
Retraso Previo;22;997;
Retraso Compagnia;16;998;
Retraso Compagnia;74;999;
Retraso NAS;23;1001;
Retraso Compagnia;17;1002;
Retraso NAS;1;1003;
Retraso Previo;29;1004;
Retraso Compagnia;4;1005;
Retraso Previo;43;1006;
Retraso Compagnia;6;1007;
Retraso NAS;2;1008;
Retraso Previo;14;1009;
Retraso Compagnia;6;1010;
Retraso NAS;9;1011;
Retraso Previo;49;1012;
Retraso NAS;66;1013;
Retraso Previo;24;1014;
