flightNum;cancelled;cancellationName;diverted;div1airport;div2airport;compania;carrierDelay;tiempo;weatherDelay;NAS;nasDelay;seguridad;securityDelay;previo;lateAircraftDelay;desvio;divArrDelay;
1013;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;79;desvio;;
1015;0;;0;;;compania;0;tiempo;0;NAS;115;seguridad;0;previo;0;desvio;;
1016;0;;0;;;compania;0;tiempo;0;NAS;92;seguridad;0;previo;0;desvio;;
1025;0;;0;;;compania;11;tiempo;0;NAS;3;seguridad;0;previo;45;desvio;;
1035;0;;0;;;compania;4;tiempo;0;NAS;0;seguridad;0;previo;15;desvio;;
1036;0;;0;;;compania;4;tiempo;0;NAS;0;seguridad;0;previo;12;desvio;;
1041;0;;0;;;compania;0;tiempo;0;NAS;28;seguridad;0;previo;0;desvio;;
1043;0;;0;;;compania;0;tiempo;0;NAS;52;seguridad;0;previo;0;desvio;;
1044;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;desvio;;
1046;0;;0;;;compania;0;tiempo;6;NAS;9;seguridad;0;previo;27;desvio;;
1049;0;;0;;;compania;0;tiempo;0;NAS;70;seguridad;0;previo;0;desvio;;
1051;0;;0;;;compania;23;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
1052;0;;0;;;compania;14;tiempo;0;NAS;0;seguridad;0;previo;4;desvio;;
1054;0;;0;;;compania;0;tiempo;0;NAS;125;seguridad;0;previo;0;desvio;;
1055;0;;0;;;compania;0;tiempo;0;NAS;83;seguridad;0;previo;0;desvio;;
1057;0;;0;;;compania;0;tiempo;6;NAS;2;seguridad;0;previo;110;desvio;;
1058;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;61;desvio;;
1060;1;Carrier;0;;;compania;;tiempo;;NAS;;seguridad;;previo;;desvio;;
