idVuelo;cancelled;cancellationName;diverted;div1airport;div2airport;compania;carrierDelay;tiempo;weatherDelay;NAS;nasDelay;seguridad;securityDelay;previo;lateAircraftDelay;
743;0;;0;;;compania;0;tiempo;0;NAS;26;seguridad;0;previo;0;
745;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;
746;0;;0;;;compania;0;tiempo;0;NAS;22;seguridad;0;previo;0;
746;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;12;
751;0;;0;;;compania;11;tiempo;0;NAS;0;seguridad;0;previo;0;
751;0;;0;;;compania;0;tiempo;0;NAS;24;seguridad;0;previo;0;
757;1;Carrier;0;;;compania;;tiempo;;NAS;;seguridad;;previo;;
766;0;;0;;;compania;25;tiempo;0;NAS;0;seguridad;0;previo;0;
766;0;;0;;;compania;0;tiempo;0;NAS;2;seguridad;0;previo;0;
774;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;37;
782;0;;0;;;compania;20;tiempo;0;NAS;0;seguridad;0;previo;0;
783;0;;0;;;compania;73;tiempo;0;NAS;0;seguridad;0;previo;0;
783;0;;0;;;compania;0;tiempo;0;NAS;5;seguridad;0;previo;0;
791;0;;0;;;compania;0;tiempo;0;NAS;59;seguridad;0;previo;0;
797;0;;0;;;compania;8;tiempo;0;NAS;0;seguridad;0;previo;0;
797;0;;0;;;compania;0;tiempo;0;NAS;10;seguridad;0;previo;0;
799;0;;0;;;compania;0;tiempo;1;NAS;0;seguridad;0;previo;0;
799;0;;0;;;compania;0;tiempo;0;NAS;14;seguridad;0;previo;0;
799;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;93;
800;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;62;
813;0;;0;;;compania;0;tiempo;0;NAS;28;seguridad;0;previo;0;
813;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;6;
814;0;;0;;;compania;0;tiempo;0;NAS;3;seguridad;0;previo;0;
814;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;52;
816;0;;0;;;compania;44;tiempo;0;NAS;0;seguridad;0;previo;0;
816;0;;0;;;compania;0;tiempo;0;NAS;10;seguridad;0;previo;0;
823;0;;0;;;compania;8;tiempo;0;NAS;0;seguridad;0;previo;0;
823;0;;0;;;compania;0;tiempo;0;NAS;7;seguridad;0;previo;0;
830;0;;0;;;compania;0;tiempo;9;NAS;0;seguridad;0;previo;0;
830;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;90;
833;0;;0;;;compania;0;tiempo;23;NAS;0;seguridad;0;previo;0;
833;0;;0;;;compania;0;tiempo;0;NAS;99;seguridad;0;previo;0;
838;0;;0;;;compania;0;tiempo;0;NAS;56;seguridad;0;previo;0;
839;0;;0;;;compania;30;tiempo;0;NAS;0;seguridad;0;previo;0;
839;0;;0;;;compania;0;tiempo;0;NAS;214;seguridad;0;previo;0;
841;0;;0;;;compania;0;tiempo;0;NAS;2;seguridad;0;previo;0;
841;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;41;
844;0;;0;;;compania;0;tiempo;0;NAS;35;seguridad;0;previo;0;
877;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;41;
893;0;;0;;;compania;57;tiempo;0;NAS;0;seguridad;0;previo;0;
895;0;;0;;;compania;105;tiempo;0;NAS;0;seguridad;0;previo;0;
895;0;;0;;;compania;0;tiempo;0;NAS;11;seguridad;0;previo;0;
907;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;28;
